polarity,confidence,text,sadness,isIronic,class,fear,isSubjective,isAgreement,anger,surprise,joy
P,100,"i remember in 7th grade we used to fight the 8th graders at recess . dem were the days man lol",0.7035837173461914,False,Human,0.11391761898994446,True,True,0.1284189075231552,0.008168450556695461,0.04591129720211029
P,92,"You cannot perform in a manner inconsistent with the way you see yourself. - Zig Ziglar",0.19053326547145844,False,Human,0.11255890876054764,False,True,0.5444351434707642,0.006755413953214884,0.14571726322174072
NONE,100,"@bpadthai Follow me!",0.17407891154289246,False,Human,0.15542897582054138,False,True,0.18077895045280457,0.1611349731683731,0.3285781741142273
NONE,100,"@TayaPYT thanx babe .. Xoxo .. See u in a second",0.14797496795654297,False,Human,0.13754382729530334,False,True,0.025219593197107315,0.43830543756484985,0.2509562373161316
P,100,"best taste in music",0.06861419230699539,False,Human,0.05859106034040451,True,True,0.064704030752182,0.36619293689727783,0.44189777970314026
N,100,"RT @KarlJCompton: I feel like a banshee today with my hair ugh",0.30584216117858887,False,Human,0.22206565737724304,False,True,0.4037413001060486,0.007261990569531918,0.06108887493610382
P,92,"What do we live for if it is not to make life less difficult for each other? - George Eliot",0.3339782655239105,False,Human,0.16410641372203827,False,True,0.4046875536441803,0.05308467522263527,0.04414307326078415
N,94,"@T_H_O_D Aim for the moon. If you miss you may hit a star. William Clement Stone",0.46651142835617065,False,Human,0.08963016420602798,True,False,0.03529337793588638,0.1733095943927765,0.23525546491146088
NEU,94,"Venezuela beauty queens protest: While Venezuela beauty queens aid the opposition the president sings a song called Plastic. CNN's...",0.29400938749313354,False,Human,0.1803961843252182,False,False,0.16322948038578033,0.09495174884796143,0.2674131989479065
P,100,"RT @ProFootballHOF: Board of Trustees approves master plan to develop a “Hall of Fame Village. Details: http://t.co/umDSXYAWm6 http://t.co…",0.43063002824783325,False,Human,0.32729941606521606,False,True,0.10461275279521942,0.012587354518473148,0.12487046420574188
N,100,"@Prinnysparkles Music should strike fire from the heart of man and bring tears from the eyes of woman. - Ludwig van Beethoven",0.370571494102478,False,Human,0.19778230786323547,False,True,0.09496399760246277,0.03426099568605423,0.3024212419986725
P,100,"@prachtlamas Danke das werde ich bestimmt in nächster Zeit mal tun. Schönen Abend! :)",0.022815711796283722,False,Human,0.05752938613295555,True,True,0.016131646931171417,0.225673109292984,0.6778501272201538
NONE,100,"@valdarcala please follow me",0.3365311622619629,False,Human,0.23410920798778534,False,True,0.21376651525497437,0.06524460017681122,0.15034854412078857
P+,100,"@cydneypoppins2 Now is the time. Needs are great but your possibilities are greater. - Bill Blackman",0.229213148355484,False,Human,0.32338863611221313,False,True,0.26786378026008606,0.006575617007911205,0.17295880615711212
NONE,100,"@biebertherapper We make a living by what we get we make a life by what we give. - Winston Churchill",0.43374669551849365,False,Human,0.16754524409770966,False,True,0.16035886108875275,0.0687914788722992,0.16955772042274475
NONE,100,"Ended the day in a and note fukk you",0.19464415311813354,False,Human,0.10540162771940231,False,True,0.09579961001873016,0.4050688147544861,0.1990857869386673
NONE,100,"RT @Metro_TV: Gerald Pangkali: Kita Kembali kepada Kinerja Wasit   http://t.co/Dtr7jIpBor",0.5281898379325867,False,Human,0.2398245930671692,False,True,0.11263450980186462,0.03760174661874771,0.08174929767847061
NONE,100,"Why do people act like LeBron was the first person to do the powder toss?",0.27581754326820374,False,Human,0.1029520183801651,False,True,0.5611701607704163,0.049806661903858185,0.010253588669002056
P,100,"A leader has the vision and conviction that a dream can be achieved. He inspires the power and energy to get it done. - Ralph Lauren",0.18211917579174042,False,Human,0.30389291048049927,False,True,0.12474530190229416,0.009169436059892178,0.3800731897354126
N+,92,"@ngxinyyu Nothing not even sheer ability can make up for the dedication required for a successful business career. - Ray Eppert",0.2316027581691742,False,Human,0.18760445713996887,True,True,0.1573830246925354,0.18249830603599548,0.24091140925884247
P,100,"@NJoshuaDart very cool",0.1440064013004303,False,Human,0.15259526669979095,True,True,0.17130152881145477,0.3227851986885071,0.20931163430213928
NONE,100,"@liveyoucaique awsome",0.1415424942970276,False,Human,0.18614649772644043,False,True,0.1252974271774292,0.33231687545776367,0.2146967053413391
NONE,100,"@GarrettArt Whatever advice you give be brief. - Horace",0.16775885224342346,False,Human,0.3255477249622345,False,True,0.3022495210170746,0.07921706140041351,0.12522688508033752
P,100,"What must i do to make you understand...??",0.14527210593223572,False,Human,0.23055559396743774,False,True,0.5648090839385986,0.035985998809337616,0.02337728999555111
P,100,"@M_Gutowsky Mir geht's gut! :) Und bei dir auch alles okay?",0.0431380420923233,False,Human,0.4622255563735962,True,True,0.01858295127749443,0.23873677849769592,0.23731665313243866
NONE,100,"@kotetu5000 @brave03 リツイート解除じゃなくて連携解除しなさいよwwwww",0.11185205727815628,False,Human,0.1427813321352005,False,True,0.07990866899490356,0.46192464232444763,0.2035333216190338
P,100,"@LaunchBubble nice...",0.15599489212036133,False,Human,0.177267387509346,True,True,0.11607310175895691,0.36245355010032654,0.18821102380752563
N,92,"A life without love is like a year without summer. - Swedish Proverb",0.49179190397262573,False,Human,0.0387188158929348,True,True,0.06768517941236496,0.04776030406355858,0.35404378175735474
NONE,100,"one.",0.16632302105426788,False,Human,0.23314480483531952,False,True,0.2123224437236786,0.18623527884483337,0.20197448134422302
P,100,"The time is always right to do what is right. - Martin Luther King Jr.",0.14121779799461365,False,Human,0.12909063696861267,False,True,0.2580241858959198,0.2867337465286255,0.1849336475133896
N,100,"@2200GRAMS Where your talents and the needs of the world cross lies your calling. - Aristotle",0.3720158636569977,False,Human,0.11618492007255554,False,True,0.43342041969299316,0.02782605029642582,0.05055274814367294
N,86,"No logic whatsoever but the music was good good editors. @emafabolous: @ImrKil It SUCKS!",0.27477484941482544,False,Human,0.03795626014471054,True,False,0.10862915217876434,0.3827728033065796,0.19586694240570068
P,100,"Improvement begins with I. - Arnold . Glasgow",0.054401688277721405,False,Human,0.33754152059555054,False,True,0.02714485488831997,0.07945477962493896,0.501457154750824
NONE,100,"@CHOCOICE_JINRYU Please follow me",0.33197957277297974,False,Human,0.23857730627059937,False,True,0.18059071898460388,0.08612177520990372,0.1627306342124939
NONE,100,"Everybody watching drumline???",0.3084637224674225,False,Human,0.23412923514842987,False,True,0.2136375606060028,0.17135587334632874,0.07241359353065491
P,100,"@dmarc_24 Cool page",0.1685553938150406,False,Human,0.10850581526756287,True,True,0.3974520266056061,0.19718101620674133,0.12830573320388794
N,100,"When everything seems to be going against you remember that the airplane takes off against the wind not with it. - Henry Ford",0.27601444721221924,False,Human,0.1516544222831726,True,True,0.5180297493934631,0.01730342209339142,0.0369979664683342
P,100,"@UnlovedTrash T-Trubbish..? Tom floated right above where he hid with a curious look.",0.24923375248908997,False,Human,0.34874656796455383,False,True,0.09673088788986206,0.23676615953445435,0.0685226172208786
N,100,"when you're lonely all you gotta do is call me. you know you're my one and only. come next to me lemme take you on a journey ?",0.4641416370868683,False,Human,0.19966018199920654,True,True,0.18796497583389282,0.0981082022190094,0.05012500286102295
NONE,100,"RT @JenSelter: Can't sleep",0.1895759403705597,False,Human,0.2532760500907898,False,True,0.27749237418174744,0.0745285227894783,0.20512709021568298
P,92,"I won't reply to you if you send one word texts so don't get mad at me for not replying when you're the one who's one wording me.",0.09443037211894989,False,Human,0.03731876239180565,True,True,0.8620709180831909,0.0026532975025475025,0.0035267374478280544
P+,98,"The more reasons you have for achieving your goal the more determined you will become. - Brian Tracy",0.3911679983139038,False,Human,0.1886119544506073,False,True,0.1168585866689682,0.08920899778604507,0.2141524851322174
NONE,100,"@gangrenadiario WOW",0.14926943182945251,False,Human,0.16343483328819275,True,True,0.12605997920036316,0.40553462505340576,0.15570111572742462
NEU,86,"If you have choices choose the best. If you have no choice do the best.",0.2633292078971863,False,Human,0.1858886182308197,True,False,0.18001006543636322,0.16353237628936768,0.20723974704742432
P+,100,"@metalinsider you're awesome",0.04934438318014145,False,Human,0.04946552962064743,True,True,0.04531135410070419,0.5494593381881714,0.30641934275627136
P,100,"@Herostrain The superior man is modest in his speech but exceeds in his actions. - Confucius",0.33358901739120483,False,Human,0.38455435633659363,True,True,0.14894768595695496,0.055444639176130295,0.0774642750620842
P+,100,"if you loved me you would be here with me...",0.5681711435317993,False,Human,0.12087416648864746,True,True,0.2161143720149994,0.03754475712776184,0.05729556828737259
P,100,"@staticinverona It's simple ... go the extra mile and you will stand out from the crowd. - Robin Crow",0.2725459635257721,False,Human,0.1647273749113083,True,True,0.44296833872795105,0.011540140956640244,0.10821816325187683
NONE,100,"@Rahmawati765 wow",0.14926943182945251,False,Human,0.16343483328819275,True,True,0.12605997920036316,0.40553462505340576,0.15570111572742462
N+,100,"That's the pussy step dad shit I be talking about.... If it wasn't for my mom we would've been threw the hands",0.312348872423172,False,Human,0.08013734221458435,True,True,0.5528663396835327,0.045340731739997864,0.009306713938713074
NONE,100,"That's my issue.",0.19112907350063324,False,Human,0.2574695944786072,False,True,0.37900078296661377,0.05596672371029854,0.11643382906913757
P,100,"“@Dammm_sunny: @kiddklassik lol well u gon be whatever I call u lol I got another name but imma Dave that for later lol”",0.43559443950653076,False,Human,0.07723647356033325,True,True,0.028587792068719864,0.34129735827445984,0.1172839105129242
P,100,"LOL habang gumagawa ng project? Nico yan ihh. Haha",0.17675161361694336,False,Human,0.1800655871629715,True,True,0.11944535374641418,0.287598580121994,0.23613885045051575
P,94,"@Ari_Communism It is a rough road that leads to the heights of greatness. - Seneca",0.3960838317871094,False,Human,0.15090662240982056,False,False,0.2258889079093933,0.09722069650888443,0.1298999786376953
NONE,100,"?????",0.1584518849849701,False,Human,0.2663515508174896,False,True,0.19698724150657654,0.21004599332809448,0.16816328465938568
NONE,100,"Shower w music is ??????",0.061403073370456696,False,Human,0.08170367777347565,False,True,0.11542612314224243,0.6579041481018066,0.08356301486492157
P,100,"@keri843 cool page.",0.17965446412563324,False,Human,0.1442030966281891,True,True,0.24731692671775818,0.2325572669506073,0.196268230676651
N+,100,"You know ashton's hair in that keek when he's wearing the pony and in catering again bc i want that fUCKING HAIR AGAIN",0.20866341888904572,False,Human,0.06665372848510742,True,True,0.5608036518096924,0.10096941888332367,0.06290976703166962
P,94,"I met with my wonderful daughter yesterday. She is expecting twins in June and I felt her babes kicking. What a great experience. #proudpapa",0.02355087921023369,False,Human,0.04312018305063248,True,False,0.004449254833161831,0.6090329885482788,0.3198466897010803
NONE,100,"Top 3 music videos of the year so far:",0.4190862476825714,False,Human,0.0641622543334961,False,True,0.058710984885692596,0.13532795011997223,0.32271257042884827
N,92,"@fucksahara Do not wait for leaders; do it alone person to person. - Mother Teresa",0.6159172654151917,False,Human,0.08964239060878754,False,True,0.17344152927398682,0.06961295753717422,0.05138587951660156
NONE,100,"@godsangell We will either find a way or make one. - Hannibal",0.11348360776901245,False,Human,0.5661032199859619,False,True,0.19231532514095306,0.014297330752015114,0.1138005182147026
NONE,100,"Never let other ppl tell you what to think or believe gotta find things out for yourself ya kno.",0.3376343250274658,False,Human,0.16250556707382202,True,True,0.21149009466171265,0.26538214087486267,0.022987857460975647
P+,98,"RT @ConanOBrien: Let’s just agree any group of 3 or more handsome British men should be referred to as a “cumberbatch.”",0.3842328190803528,False,Human,0.1505821794271469,True,True,0.2873309254646301,0.09847244620323181,0.07938164472579956
P,100,"@Diana050399 nice!",0.07280152291059494,False,Human,0.11155766248703003,True,True,0.08761583268642426,0.4441390037536621,0.28388598561286926
P,92,"@Enide_Ghost What's wrong with that...? You.. Look really cute..",0.3638555109500885,False,Human,0.1768409013748169,True,False,0.08833656460046768,0.32761555910110474,0.04335146024823189
P,100,"Improve your spare moments and they will become the brightest gems in your life. - Ralph Waldo Emerson",0.30606740713119507,False,Human,0.07319605350494385,False,True,0.0974220335483551,0.027509447187185287,0.495805025100708
P,92,"@chrizzyjordvn If opportunity doesn't knock build a door. - Milton Berle",0.21651235222816467,False,Human,0.34555619955062866,False,True,0.2589389383792877,0.12058481574058533,0.05840764567255974
NONE,100,"@BigGhostLtd ahh",0.13655076920986176,False,Human,0.28096243739128113,False,True,0.13485553860664368,0.24504102766513824,0.2025902420282364
P+,100,"@PatDhat you're awesome",0.04934438318014145,False,Human,0.04946552962064743,True,True,0.04531135410070419,0.5494593381881714,0.30641934275627136
NONE,100,"@_FlyBoiErrey Please follow me",0.37799444794654846,False,Human,0.1983305811882019,False,True,0.2440858781337738,0.04930061101913452,0.13028843700885773
NONE,100,"@OnlyMe_Brianna !",0.09333403408527374,False,Human,0.08970454335212708,False,True,0.1051497608423233,0.4427693784236908,0.26904231309890747
NONE,100,"why am I awake and why am I in my feelings",0.37550991773605347,False,Human,0.11740124225616455,False,True,0.4098449945449829,0.05795782059431076,0.039285995066165924
P,92,"If we do not plant knowledge when young it will give us no shade when we are old. - Lord Chesterfield",0.39114218950271606,False,Human,0.18034237623214722,False,True,0.3373197615146637,0.03274819254875183,0.05844752863049507
NONE,100,"RT @NylonMag: How @itsmeleighton is putting @gossipgirl behind her: http://t.co/agh8YPSG9r http://t.co/5NXd14sX41",0.5208041667938232,False,Human,0.2931177616119385,False,True,0.1461087167263031,0.00860680639743805,0.03136259317398071
NONE,100,"@Cimot_Kepo The question isn't who is going to let me; it's who is going to stop me. - Ayn Rand",0.22614380717277527,False,Human,0.1843959540128708,False,True,0.2910833954811096,0.23195552825927734,0.06642130017280579
P,100,"what i would give to be in portugal right now",0.3909176290035248,False,Human,0.20248070359230042,False,True,0.25381287932395935,0.08767059445381165,0.06511813402175903
P,100,"@heyshaf NICE",0.1255301982164383,False,Human,0.16684526205062866,True,True,0.1186060905456543,0.3793295919895172,0.20968887209892273
